"E/V","I/uA"
3.6190000E-01,-3.5620000E-01
3.6140000E-01,-1.3450000E-01
3.6080000E-01,-7.2100000E-01
3.6030000E-01,-1.2980000E-01
3.5980000E-01,-7.4270000E-01
3.5930000E-01,-1.1120000E-01
3.5880000E-01,-6.6390000E-01
3.5830000E-01,-1.2370000E-01
3.5780000E-01,-5.5000000E-01
3.5720000E-01,-9.3600000E-02
3.5670000E-01,-5.1880000E-01
3.5620000E-01,-1.0590000E-01
3.5570000E-01,-3.7940000E-01
3.5520000E-01,-1.4560000E-01
3.5470000E-01,-3.6860000E-01
3.5420000E-01,-1.0580000E-01
3.5360000E-01,-3.1550000E-01
3.5310000E-01,-1.0970000E-01
3.5260000E-01,-3.1400000E-01
3.5210000E-01,-1.6860000E-01
3.5160000E-01,-2.2960000E-01
3.5110000E-01,-5.0660000E-01
3.5060000E-01,-2.7960000E-01
3.5010000E-01,-6.3620000E-01
3.4950000E-01,-2.6300000E-01
3.4900000E-01,-5.5610000E-01
3.4850000E-01,-2.5680000E-01
3.4800000E-01,-4.4670000E-01
3.4750000E-01,-2.4250000E-01
3.4700000E-01,-4.0360000E-01
3.4650000E-01,-2.3070000E-01
3.4590000E-01,-2.9050000E-01
3.4540000E-01,-2.3990000E-01
3.4490000E-01,-2.4680000E-01
3.4440000E-01,-3.0970000E-01
3.4390000E-01,-2.6330000E-01
3.4340000E-01,-2.9910000E-01
3.4290000E-01,-2.4070000E-01
3.4240000E-01,-2.5990000E-01
3.4180000E-01,-1.7770000E-01
3.4130000E-01,-6.6340000E-01
3.4080000E-01,-2.3760000E-01
3.4030000E-01,-8.8540000E-01
3.3980000E-01,-1.5980000E-01
3.3930000E-01,-7.5950000E-01
3.3880000E-01,-2.5830000E-01
3.3820000E-01,-6.4960000E-01
3.3770000E-01,-1.9140000E-01
3.3720000E-01,-5.6220000E-01
3.3670000E-01,-2.5940000E-01
3.3620000E-01,-5.2550000E-01
3.3570000E-01,-1.5720000E-01
3.3520000E-01,-4.6200000E-01
3.3460000E-01,-2.4860000E-01
3.3410000E-01,-4.0250000E-01
3.3360000E-01,-1.5010000E-01
3.3310000E-01,-4.1400000E-01
3.3260000E-01,-1.9340000E-01
3.3210000E-01,-4.0970000E-01
3.3160000E-01,-4.7490000E-01
3.3110000E-01,-3.8220000E-01
3.3050000E-01,-7.6400000E-01
3.3000000E-01,-2.9230000E-01
3.2950000E-01,-7.3530000E-01
3.2900000E-01,-2.9320000E-01
3.2850000E-01,-5.6480000E-01
3.2800000E-01,-3.2660000E-01
3.2750000E-01,-4.7340000E-01
3.2690000E-01,-2.6640000E-01
3.2640000E-01,-4.4960000E-01
3.2590000E-01,-3.5270000E-01
3.2540000E-01,-3.5920000E-01
3.2490000E-01,-3.7840000E-01
3.2440000E-01,-2.5310000E-01
3.2390000E-01,-3.5790000E-01
3.2340000E-01,-3.1310000E-01
3.2280000E-01,-2.9580000E-01
3.2230000E-01,-2.9280000E-01
3.2180000E-01,-5.2390000E-01
3.2130000E-01,-2.9020000E-01
3.2080000E-01,-8.2160000E-01
3.2030000E-01,-2.2990000E-01
3.1980000E-01,-8.9450000E-01
3.1920000E-01,-3.0990000E-01
3.1870000E-01,-7.1580000E-01
3.1820000E-01,-2.2240000E-01
3.1770000E-01,-6.7510000E-01
3.1720000E-01,-2.7360000E-01
3.1670000E-01,-6.3790000E-01
3.1620000E-01,-1.7300000E-01
3.1560000E-01,-4.9590000E-01
3.1510000E-01,-1.8920000E-01
3.1460000E-01,-5.3460000E-01
3.1410000E-01,-1.8410000E-01
3.1360000E-01,-4.4770000E-01
3.1310000E-01,-1.7320000E-01
3.1260000E-01,-4.5770000E-01
3.1210000E-01,-3.4260000E-01
3.1150000E-01,-4.3140000E-01
3.1100000E-01,-6.8710000E-01
3.1050000E-01,-4.3300000E-01
3.1000000E-01,-7.4000000E-01
3.0950000E-01,-3.4780000E-01
3.0900000E-01,-7.2320000E-01
3.0850000E-01,-3.1410000E-01
3.0790000E-01,-5.6410000E-01
3.0740000E-01,-3.9470000E-01
3.0690000E-01,-4.5780000E-01
3.0640000E-01,-3.8200000E-01
3.0590000E-01,-3.9560000E-01
3.0540000E-01,-3.4670000E-01
3.0490000E-01,-3.6220000E-01
3.0440000E-01,-3.9770000E-01
3.0380000E-01,-2.8140000E-01
3.0330000E-01,-3.8380000E-01
3.0280000E-01,-3.0060000E-01
3.0230000E-01,-4.1680000E-01
3.0180000E-01,-2.9330000E-01
3.0130000E-01,-7.7330000E-01
3.0080000E-01,-2.3580000E-01
3.0020000E-01,-9.5100000E-01
2.9970000E-01,-3.0380000E-01
2.9920000E-01,-8.4740000E-01
2.9870000E-01,-2.0550000E-01
2.9820000E-01,-7.9420000E-01
2.9770000E-01,-2.2600000E-01
2.9720000E-01,-6.8910000E-01
2.9660000E-01,-2.8060000E-01
2.9610000E-01,-5.9550000E-01
2.9560000E-01,-2.5910000E-01
2.9510000E-01,-5.0350000E-01
2.9460000E-01,-2.1110000E-01
2.9410000E-01,-4.7310000E-01
2.9360000E-01,-2.3820000E-01
2.9310000E-01,-4.7650000E-01
2.9250000E-01,-2.5210000E-01
2.9200000E-01,-3.7820000E-01
2.9150000E-01,-5.5240000E-01
2.9100000E-01,-4.5070000E-01
2.9050000E-01,-7.6710000E-01
2.9000000E-01,-4.2650000E-01
2.8950000E-01,-7.8140000E-01
2.8890000E-01,-3.8480000E-01
2.8840000E-01,-6.0280000E-01
2.8790000E-01,-4.2910000E-01
2.8740000E-01,-5.6470000E-01
2.8690000E-01,-4.1510000E-01
2.8640000E-01,-4.0600000E-01
2.8590000E-01,-4.0850000E-01
2.8540000E-01,-3.5150000E-01
2.8480000E-01,-4.3020000E-01
2.8430000E-01,-3.9830000E-01
2.8380000E-01,-3.8370000E-01
2.8330000E-01,-2.8490000E-01
2.8280000E-01,-3.6930000E-01
2.8230000E-01,-3.3650000E-01
2.8180000E-01,-5.5930000E-01
2.8120000E-01,-2.8140000E-01
2.8070000E-01,-8.9710000E-01
2.8020000E-01,-2.8390000E-01
2.7970000E-01,-9.4040000E-01
2.7920000E-01,-3.2210000E-01
2.7870000E-01,-8.6630000E-01
2.7820000E-01,-2.6550000E-01
2.7760000E-01,-5.8280000E-01
2.7710000E-01,-2.9550000E-01
2.7660000E-01,-6.3450000E-01
2.7610000E-01,-3.0100000E-01
2.7560000E-01,-5.0620000E-01
2.7510000E-01,-2.6520000E-01
2.7460000E-01,-5.1710000E-01
2.7410000E-01,-3.4350000E-01
2.7350000E-01,-5.0110000E-01
2.7300000E-01,-2.3110000E-01
2.7250000E-01,-4.2070000E-01
2.7200000E-01,-3.9870000E-01
2.7150000E-01,-4.9100000E-01
2.7100000E-01,-8.1370000E-01
2.7050000E-01,-4.4230000E-01
2.6990000E-01,-8.0760000E-01
2.6940000E-01,-4.5310000E-01
2.6890000E-01,-7.2500000E-01
2.6840000E-01,-4.2840000E-01
2.6790000E-01,-5.8690000E-01
2.6740000E-01,-3.5840000E-01
2.6690000E-01,-4.5180000E-01
2.6640000E-01,-4.4830000E-01
2.6580000E-01,-4.2340000E-01
2.6530000E-01,-4.3120000E-01
2.6480000E-01,-3.4550000E-01
2.6430000E-01,-4.4060000E-01
2.6380000E-01,-3.4650000E-01
2.6330000E-01,-4.2480000E-01
2.6280000E-01,-3.8140000E-01
2.6220000E-01,-5.0200000E-01
2.6170000E-01,-2.8110000E-01
2.6120000E-01,-8.2210000E-01
2.6070000E-01,-3.3240000E-01
2.6020000E-01,-1.0230000E+00
2.5970000E-01,-3.2700000E-01
2.5920000E-01,-9.4710000E-01
2.5860000E-01,-1.9760000E-01
2.5810000E-01,-7.7470000E-01
2.5760000E-01,-3.1980000E-01
2.5710000E-01,-6.0130000E-01
2.5660000E-01,-3.5330000E-01
2.5610000E-01,-6.4850000E-01
2.5560000E-01,-2.8860000E-01
2.5510000E-01,-5.2960000E-01
2.5450000E-01,-2.6060000E-01
2.5400000E-01,-4.7430000E-01
2.5350000E-01,-2.8970000E-01
2.5300000E-01,-4.8660000E-01
2.5250000E-01,-3.2600000E-01
2.5200000E-01,-4.2820000E-01
2.5150000E-01,-6.7130000E-01
2.5090000E-01,-5.4010000E-01
2.5040000E-01,-8.5590000E-01
2.4990000E-01,-4.6930000E-01
2.4940000E-01,-8.3270000E-01
2.4890000E-01,-4.5430000E-01
2.4840000E-01,-6.0120000E-01
2.4790000E-01,-4.3980000E-01
2.4740000E-01,-5.6510000E-01
2.4680000E-01,-4.7770000E-01
2.4630000E-01,-5.2520000E-01
2.4580000E-01,-4.2540000E-01
2.4530000E-01,-4.4500000E-01
2.4480000E-01,-4.3100000E-01
2.4430000E-01,-3.9760000E-01
2.4380000E-01,-4.5750000E-01
2.4320000E-01,-3.7440000E-01
2.4270000E-01,-4.5430000E-01
2.4220000E-01,-3.2180000E-01
2.4170000E-01,-7.2460000E-01
2.4120000E-01,-2.9020000E-01
2.4070000E-01,-1.0150000E+00
2.4020000E-01,-3.9230000E-01
2.3960000E-01,-9.2790000E-01
2.3910000E-01,-2.9580000E-01
2.3860000E-01,-8.1260000E-01
2.3810000E-01,-3.0120000E-01
2.3760000E-01,-6.7450000E-01
2.3710000E-01,-2.8940000E-01
